#STEPS          TOT_EN          EN_INTER        EN_TC           EN_INTRA(B)     EN_INTRA(NB)    EN_ELECT        EN_REAL         EN_RECIP        TOT_MOL         TOT_DENS        MOLFRACT_ZN1    MOLFRACT_C1     MOLFRACT_C2     MOLFRACT_C3     MOLFRACT_O1     MOLFRACT_O2     MOLFRACT_H3     MOLFRACT_CO2    
5400000         -83512174.8410  -3151011.0759   0.0000          0.0000          0.0000          -80361163.7651  -65055398.2876  2824.1759       4909.3210       1397.3666       0.05214579      0.07821868      0.07821868      0.15643736      0.01303645      0.15643736      0.15643736      0.30906834      
5500000         -83494725.8166  -3151839.5576   0.0000          0.0000          0.0000          -80342886.2590  -65037192.9318  2903.3883       4911.3286       1398.4305       0.05212447      0.07818670      0.07818670      0.15637340      0.01303112      0.15637340      0.15637340      0.30935080      
5600000         -83484685.1420  -3143020.6940   0.0000          0.0000          0.0000          -80341664.4480  -65035826.9205  2742.2880       4906.5244       1395.8846       0.05217549      0.07826323      0.07826323      0.15652647      0.01304387      0.15652647      0.15652647      0.30867476      
5700000         -83505281.1200  -3157103.4531   0.0000          0.0000          0.0000          -80348177.6668  -65042286.1869  2707.4698       4911.9638       1398.7671       0.05211769      0.07817654      0.07817654      0.15635308      0.01302942      0.15635308      0.15635308      0.30944057      
5800000         -83531408.8661  -3172501.7208   0.0000          0.0000          0.0000          -80358907.1453  -65053028.7836  2750.4057       4920.4402       1403.2590       0.05202794      0.07804191      0.07804191      0.15608382      0.01300698      0.15608382      0.15608382      0.31062980      
5900000         -83483743.6063  -3138187.3480   0.0000          0.0000          0.0000          -80345556.2582  -65039719.3468  2749.7604       4908.4734       1396.9175       0.05215477      0.07823215      0.07823215      0.15646430      0.01303869      0.15646430      0.15646430      0.30894933      
6000000         -83478756.7205  -3128735.4839   0.0000          0.0000          0.0000          -80350021.2366  -65044235.1092  2791.7092       4905.9618       1395.5865       0.05218144      0.07827216      0.07827216      0.15654431      0.01304536      0.15654431      0.15654431      0.30859596      
6100000         -83496286.1419  -3143869.5406   0.0000          0.0000          0.0000          -80352416.6013  -65046570.3820  2747.6075       4910.5074       1397.9953       0.05213313      0.07819969      0.07819969      0.15639939      0.01303328      0.15639939      0.15639939      0.30923605      
6200000         -83512705.3009  -3162262.3576   0.0000          0.0000          0.0000          -80350442.9434  -65044682.8213  2842.7089       4913.0671       1399.3518       0.05210597      0.07815895      0.07815895      0.15631790      0.01302649      0.15631790      0.15631790      0.30959593      
6300000         -83476012.0624  -3137209.6752   0.0000          0.0000          0.0000          -80338802.3872  -65032989.2013  2759.9049       4904.6127       1394.8715       0.05219580      0.07829370      0.07829370      0.15658740      0.01304895      0.15658740      0.15658740      0.30840567      
6400000         -83470456.4803  -3130084.9670   0.0000          0.0000          0.0000          -80340371.5133  -65034572.4553  2772.8722       4904.2828       1394.6967       0.05219933      0.07829900      0.07829900      0.15659799      0.01304983      0.15659799      0.15659799      0.30835886      
6500000         -83483825.2519  -3133173.1408   0.0000          0.0000          0.0000          -80350652.1111  -65045015.7264  2959.0302       4910.9589       1398.2346       0.05212836      0.07819254      0.07819254      0.15638509      0.01303209      0.15638509      0.15638509      0.30929919      
6600000         -83508208.0493  -3153069.8083   0.0000          0.0000          0.0000          -80355138.2410  -65049494.3344  2965.5788       4914.9588       1400.3542       0.05208594      0.07812891      0.07812891      0.15625783      0.01302149      0.15625783      0.15625783      0.30986126      
6700000         -83530146.6008  -3162477.8136   0.0000          0.0000          0.0000          -80367668.7872  -65061915.7918  2868.3343       4918.3258       1402.1385       0.05205025      0.07807537      0.07807537      0.15615074      0.01301256      0.15615074      0.15615074      0.31033424      
